
338,аббревиатурную,618270,618267,прл,NULL,NULL,0,жен,вин,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
339,аббревиатурною,618273,618267,прл,NULL,NULL,0,жен,тв,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
340,аббревиатурной,618271,618267,прл,NULL,NULL,0,жен,тв,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL

341,аббревиатурной,618272,618267,прл,NULL,NULL,0,жен,пр,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
342,аббревиатурное,952630,587451,прл,NULL,NULL,0,ср,им,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
343,аббревиатурного,952631,952630,прл,NULL,NULL,0,ср,род,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
344,аббревиатурному,952632,952630,прл,NULL,NULL,0,ср,дат,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
345,аббревиатурное,952633,952630,прл,NULL,NULL,0,ср,вин,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
346,аббревиатурным,952634,952630,прл,NULL,NULL,0,ср,тв,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
347,аббревиатурном,952635,952630,прл,NULL,NULL,0,ср,пр,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
348,аббревиатурные,3026883,587451,прл,NULL,NULL,1,NULL,им,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
349,аббревиатурных,3026884,3026883,прл,NULL,NULL,1,NULL,род,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
350,аббревиатурным,3026885,3026883,прл,NULL,NULL,1,NULL,дат,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
351,аббревиатурные,3026886,3026883,прл,NULL,NULL,1,NULL,вин,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
352,аббревиатурных,3026889,3026883,прл,NULL,NULL,1,NULL,вин,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
353,аббревиатурными,3026887,3026883,прл,NULL,NULL,1,NULL,тв,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
354,аббревиатурных,3026888,3026883,прл,NULL,NULL,1,NULL,пр,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
355,аббревиация,1190177,0,сущ,NULL,NULL,0,жен,им,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
356,аббревиации,1190178,1190177,сущ,NULL,NULL,0,жен,род,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
357,аббревиации,1190179,1190177,сущ,NULL,NULL,0,жен,дат,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
358,аббревиацию,1190180,1190177,сущ,NULL,NULL,0,жен,вин,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,а,207024,0,союз,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,а,207753,0,межд,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,а,208150,0,предик,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,а,4175724,0,част,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,а ведь,207025,0,союз,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,а вот,207346,0,част,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,а вот и,207347,0,част,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,а если,207348,0,част,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,а если б,207349,0,част,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,а если бы,207350,0,част,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL

338,аббревиатурную,618270,618267,прл,NULL,NULL,0,жен,вин,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
339,аббревиатурною,618273,618267,прл,NULL,NULL,0,жен,тв,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
340,аббревиатурной,618271,618267,прл,NULL,NULL,0,жен,тв,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL

341,аббревиатурной,618272,618267,прл,NULL,NULL,0,жен,пр,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
342,аббревиатурное,952630,587451,прл,NULL,NULL,0,ср,им,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
343,аббревиатурного,952631,952630,прл,NULL,NULL,0,ср,род,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
344,аббревиатурному,952632,952630,прл,NULL,NULL,0,ср,дат,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
345,аббревиатурное,952633,952630,прл,NULL,NULL,0,ср,вин,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
346,аббревиатурным,952634,952630,прл,NULL,NULL,0,ср,тв,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
347,аббревиатурном,952635,952630,прл,NULL,NULL,0,ср,пр,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
348,аббревиатурные,3026883,587451,прл,NULL,NULL,1,NULL,им,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
349,аббревиатурных,3026884,3026883,прл,NULL,NULL,1,NULL,род,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
350,аббревиатурным,3026885,3026883,прл,NULL,NULL,1,NULL,дат,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
351,аббревиатурные,3026886,3026883,прл,NULL,NULL,1,NULL,вин,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
352,аббревиатурных,3026889,3026883,прл,NULL,NULL,1,NULL,вин,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
353,аббревиатурными,3026887,3026883,прл,NULL,NULL,1,NULL,тв,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
354,аббревиатурных,3026888,3026883,прл,NULL,NULL,1,NULL,пр,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
355,аббревиация,1190177,0,сущ,NULL,NULL,0,жен,им,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
356,аббревиации,1190178,1190177,сущ,NULL,NULL,0,жен,род,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
357,аббревиации,1190179,1190177,сущ,NULL,NULL,0,жен,дат,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
358,аббревиацию,1190180,1190177,сущ,NULL,NULL,0,жен,вин,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
